Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
s3-upload,blackwhite-image-processor,1084,1,6000,8930.339702820866,352.91147232055664,100040.60006141663,526453.6171586716,0.6028093995560043,0.0005560972320627346,6100,7600,9800,14000,19000,28000,46000,60000,84000,100000,100000
s3-upload,blur-image-processor,1066,1,6000,9439.608352940257,365.3082847595215,109729.1030883789,518594.5356472795,0.5927996493788751,0.0005560972320627346,6000,7700,9800,13000,19000,33000,56000,78000,102000,110000,110000
s3-upload,flip-image-processor,1041,0,5900,8954.150352881117,369.17734146118164,105972.93496131897,511482.38616714696,0.5788972185773067,0.0,5900,7600,9400,13000,18000,25000,49000,67000,101000,106000,106000
s3-upload,grayscale-image-processor,1074,3,6000,8793.327156169898,417.80948638916016,138649.10173416138,506132.604283054,0.597248427235377,0.0016682916961882038,6000,7400,9000,12000,18000,23000,46000,60000,122000,139000,139000
s3-upload,process-image-processor,1060,2,5800,8911.295583563031,352.40697860717773,136139.226436615,488056.8339622642,0.5894630659864987,0.0011121944641254691,5800,7300,9000,13000,19000,27000,48000,67000,126000,136000,136000
s3-upload,resize-image-processor,1093,1,5800,8695.011673558227,384.6426010131836,103626.52277946472,486000.96889295516,0.6078142746445689,0.0005560972320627346,5800,7300,9200,12000,18000,24000,50000,67000,95000,104000,104000
,Aggregated,6418,8,5900,8952.638782010565,352.40697860717773,138649.10173416138,506088.5602991586,3.5690320353786307,0.0044487778565018765,5900,7400,9300,13000,19000,27000,47000,66000,106000,139000,139000
