Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783359131,40,,Aggregated,3.700000,0.000000,5800,8200,9700,11000,14000,15000,16000,16000,16000,16000,16000,90,0,5000,6694.925196965535,352.91147232055664,16329.253911972046,378474.36666666664
1783359132,40,,Aggregated,3.500000,0.000000,6300,8200,9800,11000,13000,15000,16000,16000,16000,16000,16000,96,0,5800,6775.934872527917,352.91147232055664,16329.253911972046,379842.5729166667
1783359133,40,,Aggregated,3.800000,0.000000,6300,8200,9800,11000,13000,15000,16000,16000,16000,16000,16000,99,0,6300,6819.588933328186,352.91147232055664,16329.253911972046,376855.44444444444
1783359134,40,,Aggregated,4.000000,0.000000,5200,8200,9800,11000,13000,15000,15000,16000,16000,16000,16000,104,0,5100,6668.704594557102,352.91147232055664,16329.253911972046,375989.58653846156
1783359135,40,,Aggregated,4.300000,0.000000,5100,8200,9700,11000,13000,15000,15000,16000,16000,16000,16000,107,0,5100,6566.925093392346,352.91147232055664,16329.253911972046,374449.26168224297
1783359136,40,,Aggregated,4.100000,0.000000,5100,8200,9700,11000,13000,15000,15000,16000,16000,16000,16000,111,0,5100,6597.5418649278245,352.91147232055664,16329.253911972046,374034.58558558556
1783359137,40,,Aggregated,4.000000,0.000000,5200,8200,9700,11000,13000,15000,16000,16000,18000,18000,18000,114,0,5100,6687.999154392041,352.91147232055664,17800.222396850586,388525.9561403509
1783359138,40,,Aggregated,3.800000,0.000000,5800,8200,9700,11000,13000,15000,16000,18000,28000,28000,28000,117,0,5800,6886.384157034067,352.91147232055664,28474.454164505005,398373.3333333333
1783359139,40,,Aggregated,3.900000,0.000000,6300,8200,9800,11000,14000,15000,16000,18000,28000,28000,28000,120,0,5800,6905.933052301407,352.91147232055664,28474.454164505005,397925.8416666667
1783359140,40,,Aggregated,4.000000,0.000000,6300,8200,9700,11000,13000,15000,16000,18000,28000,28000,28000,124,0,6100,6862.347589385125,352.91147232055664,28474.454164505005,397013.47580645164
1783359142,40,,Aggregated,3.600000,0.000000,6400,8200,9800,11000,14000,15000,18000,25000,28000,28000,28000,133,0,6400,7058.173116884734,352.91147232055664,28474.454164505005,419307.2706766917
1783359143,40,,Aggregated,3.700000,0.000000,6300,8200,9700,11000,14000,15000,18000,25000,28000,28000,28000,139,0,6300,7009.30907400392,352.91147232055664,28474.454164505005,420157.7841726619
1783359144,40,,Aggregated,3.700000,0.000000,6300,8200,9700,11000,14000,15000,18000,25000,28000,28000,28000,143,0,6300,6962.360272040734,352.91147232055664,28474.454164505005,419616.53846153844
1783359146,40,,Aggregated,3.900000,0.000000,6300,8200,9700,11000,14000,15000,18000,25000,28000,28000,28000,150,0,6300,6977.489945093791,352.91147232055664,28474.454164505005,429395.4666666667
1783359148,40,,Aggregated,3.900000,0.000000,6100,8200,9700,11000,14000,15000,16000,25000,28000,28000,28000,158,0,5900,6863.513911826701,352.91147232055664,28474.454164505005,429338.5126582279
1783359149,40,,Aggregated,4.000000,0.000000,5900,8100,9700,11000,14000,15000,16000,25000,28000,28000,28000,159,0,5900,6848.913359192183,352.91147232055664,28474.454164505005,427839.4968553459
1783359150,40,,Aggregated,3.900000,0.000000,6100,8100,9700,11000,14000,15000,16000,25000,28000,28000,28000,162,0,5900,6869.975999549583,352.91147232055664,28474.454164505005,426796.9074074074
1783359151,40,,Aggregated,4.100000,0.000000,6100,8200,9700,11000,14000,15000,16000,25000,28000,28000,28000,164,0,6000,6872.570354764054,352.91147232055664,28474.454164505005,427387.3475609756
1783359152,40,,Aggregated,4.000000,0.000000,5900,8100,9700,11000,14000,15000,16000,25000,28000,28000,28000,169,0,5900,6776.436472785544,352.91147232055664,28474.454164505005,420362.0650887574
1783359154,40,,Aggregated,3.500000,0.000000,6000,8100,9700,11000,14000,15000,18000,25000,28000,28000,28000,172,0,5900,6848.226982493733,352.91147232055664,28474.454164505005,424050.16279069765
1783359155,40,,Aggregated,3.200000,0.000000,5900,8100,9700,11000,14000,15000,18000,25000,28000,28000,28000,174,0,5900,6836.996164815179,352.91147232055664,28474.454164505005,424484.2068965517
1783359156,40,,Aggregated,3.200000,0.000000,6000,8100,9700,11000,14000,15000,18000,25000,28000,28000,28000,176,0,5900,6889.549054882743,352.91147232055664,28474.454164505005,427653.8465909091
1783359157,40,,Aggregated,2.900000,0.000000,6000,8200,9800,11000,14000,15000,18000,25000,28000,28000,28000,179,0,6000,6921.494723698281,352.91147232055664,28474.454164505005,435984.3407821229
1783359158,40,,Aggregated,3.000000,0.000000,5900,8100,9700,11000,14000,15000,18000,25000,28000,28000,28000,182,0,5900,6868.65689597287,352.91147232055664,28474.454164505005,432749.0989010989
1783359159,40,,Aggregated,2.700000,0.000000,5900,8100,9700,11000,14000,15000,18000,25000,28000,28000,28000,185,0,5900,6834.4441761841645,352.91147232055664,28474.454164505005,429473.9081081081
1783359160,40,,Aggregated,2.600000,0.000000,6000,8100,9800,11000,14000,15000,25000,28000,41000,41000,41000,188,0,5900,7122.584486261328,352.91147232055664,40846.46987915039,439765.30319148937
1783359161,40,,Aggregated,2.400000,0.000000,6000,8100,9800,11000,14000,16000,26000,40000,41000,41000,41000,192,0,5900,7310.482473423083,352.91147232055664,40846.46987915039,441330.7760416667
1783359162,40,,Aggregated,2.500000,0.000000,6300,8200,10000,11000,15000,18000,28000,41000,42000,42000,42000,198,0,6100,7568.329880935978,352.91147232055664,42305.063009262085,449235.702020202
1783359163,40,,Aggregated,2.500000,0.000000,6300,8200,10000,11000,15000,18000,28000,40000,42000,42000,42000,202,0,6100,7710.673825575574,352.91147232055664,42305.063009262085,456492.09405940596
1783359164,40,,Aggregated,2.700000,0.000000,6300,8200,10000,12000,15000,19000,28000,40000,42000,42000,42000,206,0,6100,7757.608204212003,352.91147232055664,42305.063009262085,459071.1359223301
1783359165,40,,Aggregated,3.000000,0.000000,6100,8200,10000,12000,15000,19000,28000,40000,42000,42000,42000,208,0,6000,7712.232198852759,352.91147232055664,42305.063009262085,456493.48076923075
1783359166,40,,Aggregated,3.000000,0.000000,6100,8200,10000,12000,15000,19000,28000,40000,42000,42000,42000,208,0,6000,7712.232198852759,352.91147232055664,42305.063009262085,456493.48076923075
1783359167,40,,Aggregated,3.500000,0.000000,6000,8200,10000,12000,15000,19000,28000,40000,42000,42000,42000,213,0,6000,7712.497597009364,352.91147232055664,42305.063009262085,452344.5633802817
1783359168,40,,Aggregated,3.200000,0.000000,6000,8200,10000,12000,15000,19000,28000,40000,42000,42000,42000,215,0,6000,7743.173925266709,352.91147232055664,42305.063009262085,454680.07906976744
1783359170,40,,Aggregated,3.300000,0.000000,6000,8200,10000,12000,15000,19000,28000,40000,42000,42000,42000,227,0,6000,7766.031230598819,352.91147232055664,42305.063009262085,460078.41850220266
1783359171,40,,Aggregated,3.300000,0.000000,6100,8200,11000,12000,15000,20000,33000,40000,42000,42000,42000,231,0,6100,7876.227491345757,352.91147232055664,42305.063009262085,466120.0562770563
1783359172,40,,Aggregated,3.300000,0.000000,6300,8200,11000,13000,16000,21000,33000,40000,42000,42000,42000,237,0,6300,8019.593919882795,352.91147232055664,42305.063009262085,469141.26160337555
1783359173,40,,Aggregated,3.300000,0.000000,6300,8200,11000,13000,16000,23000,33000,40000,42000,42000,42000,240,0,6300,8043.902565042178,352.91147232055664,42305.063009262085,471694.0875
1783359174,40,,Aggregated,4.000000,0.000000,6300,8200,11000,13000,16000,21000,33000,40000,42000,42000,42000,242,0,6300,8028.595650491636,352.91147232055664,42305.063009262085,473609.1157024793
1783359175,40,,Aggregated,4.000000,0.000000,6300,8200,11000,13000,16000,21000,33000,40000,42000,42000,42000,246,0,6300,8027.284689065887,352.91147232055664,42305.063009262085,477961.4674796748
1783359176,40,,Aggregated,4.100000,0.000000,6300,8200,11000,13000,16000,21000,33000,40000,42000,42000,42000,247,0,6300,8001.221113359397,352.91147232055664,42305.063009262085,476186.44129554654
1783359177,40,,Aggregated,3.700000,0.000000,6100,8200,11000,13000,16000,21000,33000,40000,42000,42000,42000,250,0,6000,7957.507515907288,352.91147232055664,42305.063009262085,473847.412
1783359178,40,,Aggregated,3.900000,0.000000,6000,8200,11000,12000,16000,21000,28000,40000,42000,42000,42000,256,0,6000,7870.319850742817,352.91147232055664,42305.063009262085,468846.8515625
1783359179,40,,Aggregated,3.900000,0.000000,6000,8200,10000,12000,16000,21000,28000,40000,42000,42000,42000,261,0,6000,7889.281770735408,352.91147232055664,42305.063009262085,472284.0574712644
1783359180,40,,Aggregated,3.900000,0.000000,6000,8200,10000,12000,16000,21000,28000,40000,42000,42000,42000,263,0,6000,7860.399943340867,352.91147232055664,42305.063009262085,470144.9771863118
1783359181,40,,Aggregated,4.000000,0.000000,6000,8100,10000,12000,16000,21000,28000,40000,42000,42000,42000,269,0,6000,7813.955322960495,352.91147232055664,42305.063009262085,466375.780669145
1783359184,40,,Aggregated,3.700000,0.000000,6100,8200,10000,12000,16000,21000,33000,41000,77000,77000,77000,276,0,6000,8079.961920993916,352.91147232055664,77462.15677261353,472061.0036231884
1783359185,40,,Aggregated,3.200000,0.000000,6000,8100,10000,12000,16000,21000,33000,41000,77000,77000,77000,280,0,6000,8023.489686420986,352.91147232055664,77462.15677261353,471138.82857142854
1783359186,40,,Aggregated,3.200000,0.000000,6000,8100,10000,12000,16000,21000,33000,41000,77000,77000,77000,282,0,6000,8045.475317231307,352.91147232055664,77462.15677261353,472786.1595744681
1783359187,40,,Aggregated,3.200000,0.000000,6000,8100,10000,12000,16000,21000,33000,41000,77000,77000,77000,285,0,6000,8053.6539822294,352.91147232055664,77462.15677261353,474460.1263157895
1783359188,40,,Aggregated,3.300000,0.000000,6100,8200,11000,13000,17000,21000,33000,41000,77000,77000,77000,289,0,6100,8111.8436833153955,352.91147232055664,77462.15677261353,479182.9411764706
1783359189,40,,Aggregated,3.500000,0.000000,6100,8200,11000,13000,17000,21000,33000,41000,77000,77000,77000,290,0,6000,8090.587197501084,352.91147232055664,77462.15677261353,477666.8965517241
1783359190,40,,Aggregated,3.700000,0.000000,6100,8100,11000,13000,17000,21000,36000,41000,77000,77000,77000,296,0,6000,8137.320792352831,352.91147232055664,77462.15677261353,477238.65202702704
1783359192,40,,Aggregated,2.900000,0.000000,6300,8200,11000,13000,17000,23000,36000,41000,77000,77000,77000,302,0,6300,8334.009011060198,352.91147232055664,77462.15677261353,483017.4867549669
1783359193,40,,Aggregated,3.200000,0.000000,6300,8200,11000,13000,17000,23000,36000,41000,77000,77000,77000,308,0,6300,8311.36835782559,352.91147232055664,77462.15677261353,480702.1493506493
1783359194,40,,Aggregated,3.200000,0.000000,6300,8200,11000,13000,17000,23000,36000,41000,77000,77000,77000,309,0,6300,8286.837214405097,352.91147232055664,77462.15677261353,479274.4077669903
1783359195,40,,Aggregated,3.300000,0.000000,6300,8200,11000,13000,17000,23000,36000,41000,77000,77000,77000,316,0,6300,8317.863442475284,352.91147232055664,77462.15677261353,482030.63291139243
1783359196,40,,Aggregated,3.700000,0.000000,6300,8200,11000,13000,17000,23000,36000,41000,77000,77000,77000,319,0,6300,8280.10269466986,352.91147232055664,77462.15677261353,480142.57680250786
1783359198,40,,Aggregated,3.500000,0.000000,6300,8200,11000,13000,17000,23000,36000,41000,77000,77000,77000,325,0,6300,8286.589949681209,352.91147232055664,77462.15677261353,481111.14461538463
1783359199,40,,Aggregated,3.500000,0.000000,6300,8200,11000,13000,18000,23000,37000,41000,77000,77000,77000,329,0,6300,8369.40905678236,352.91147232055664,77462.15677261353,481982.4285714286
1783359203,40,,Aggregated,3.400000,0.000000,6400,8200,11000,13000,17000,23000,37000,41000,77000,77000,77000,338,0,6300,8411.803782338926,352.91147232055664,77462.15677261353,484268.5946745562
1783359204,40,,Aggregated,3.100000,0.000000,6400,8200,11000,13000,18000,23000,37000,41000,77000,77000,77000,340,0,6300,8429.686895538778,352.91147232055664,77462.15677261353,482894.4911764706
1783359205,40,,Aggregated,3.100000,0.000000,6400,8200,11000,13000,17000,23000,37000,41000,77000,77000,77000,341,0,6400,8433.9773647946,352.91147232055664,77462.15677261353,482911.26392961876
1783359206,40,,Aggregated,2.900000,0.000000,6400,8200,11000,13000,17000,23000,37000,41000,77000,77000,77000,345,0,6400,8395.30768118043,352.91147232055664,77462.15677261353,482058.2347826087
1783359207,40,,Aggregated,3.200000,0.000000,6400,8200,11000,13000,17000,23000,37000,41000,77000,77000,77000,346,0,6400,8409.472794202022,352.91147232055664,77462.15677261353,484616.7225433526
1783359208,40,,Aggregated,2.400000,0.000000,6400,8200,11000,13000,18000,23000,37000,41000,77000,77000,77000,349,0,6400,8417.624752979224,352.91147232055664,77462.15677261353,485029.2435530086
1783359209,40,,Aggregated,2.500000,0.000000,6400,8300,11000,13000,17000,23000,36000,41000,77000,77000,77000,355,0,6400,8429.534452733858,352.91147232055664,77462.15677261353,483262.10704225354
1783359210,40,,Aggregated,2.500000,0.000000,6400,8200,11000,13000,17000,23000,36000,41000,77000,77000,77000,356,0,6400,8417.863390418921,352.91147232055664,77462.15677261353,482015.6685393258
1783359211,40,,Aggregated,2.200000,0.000000,6400,8200,11000,13000,18000,23000,36000,41000,77000,77000,77000,360,0,6400,8437.38556570477,352.91147232055664,77462.15677261353,482034.85277777776
1783359212,40,,Aggregated,2.500000,0.000000,6400,8300,11000,13000,18000,23000,36000,41000,77000,77000,77000,365,0,6400,8526.985886325574,352.91147232055664,77462.15677261353,483496.6383561644
1783359213,40,,Aggregated,2.700000,0.000000,6400,8300,11000,13000,18000,23000,37000,42000,77000,77000,77000,370,0,6400,8589.343919625153,352.91147232055664,77462.15677261353,483045.6756756757
1783359214,40,,Aggregated,3.000000,0.000000,6400,8300,11000,13000,18000,24000,37000,42000,77000,77000,77000,373,0,6400,8608.140012853586,352.91147232055664,77462.15677261353,484576.4128686327
1783359215,40,,Aggregated,3.500000,0.000000,6400,8300,11000,13000,18000,24000,37000,42000,77000,77000,77000,375,0,6400,8633.137338002523,352.91147232055664,77462.15677261353,486941.096
1783359216,40,,Aggregated,3.200000,0.000000,6400,8300,11000,13000,18000,24000,37000,42000,77000,77000,77000,377,0,6400,8608.85924622614,352.91147232055664,77462.15677261353,485758.76657824934
1783359218,40,,Aggregated,3.400000,0.000000,6400,8300,11000,13000,18000,24000,40000,44000,77000,77000,77000,382,0,6400,8690.69776048211,352.91147232055664,77462.15677261353,488371.68062827224
1783359219,40,,Aggregated,3.400000,0.000000,6400,8200,11000,13000,18000,24000,40000,44000,77000,77000,77000,386,0,6400,8649.681242636449,352.91147232055664,77462.15677261353,486832.1243523316
1783359220,40,,Aggregated,3.200000,0.000000,6400,8300,11000,13000,18000,25000,40000,44000,77000,77000,77000,390,0,6400,8684.815505834726,352.91147232055664,77462.15677261353,489034.7051282051
1783359222,40,,Aggregated,3.200000,0.000000,6400,8300,11000,13000,18000,25000,40000,44000,77000,77000,77000,397,0,6400,8683.741553904729,352.91147232055664,77462.15677261353,492206.1007556675
1783359223,40,,Aggregated,3.500000,0.000000,6400,8300,11000,14000,18000,24000,37000,42000,77000,77000,77000,404,0,6400,8694.282431413632,352.91147232055664,77462.15677261353,495315.8316831683
1783359224,40,,Aggregated,3.400000,0.000000,6400,8300,11000,13000,18000,24000,37000,42000,77000,77000,77000,408,0,6400,8648.966504078286,352.91147232055664,77462.15677261353,492319.27696078434
1783359225,40,,Aggregated,3.500000,0.000000,6400,8300,11000,14000,18000,24000,37000,42000,77000,77000,77000,410,0,6400,8649.132287211534,352.91147232055664,77462.15677261353,493718.4268292683
1783359226,40,,Aggregated,3.400000,0.000000,6400,8300,11000,13000,18000,24000,37000,42000,77000,77000,77000,416,0,6400,8612.4174829859,352.91147232055664,77462.15677261353,492466.7716346154
1783359228,40,,Aggregated,3.800000,0.000000,6400,8300,11000,13000,18000,24000,37000,42000,77000,77000,77000,418,0,6400,8599.481108085962,352.91147232055664,77462.15677261353,491736.3301435407
1783359229,40,,Aggregated,3.800000,0.000000,6300,8200,11000,13000,18000,23000,37000,42000,77000,77000,77000,423,0,6300,8545.81767109269,352.91147232055664,77462.15677261353,489870.8061465721
1783359230,40,,Aggregated,3.900000,0.000000,6300,8200,11000,13000,18000,23000,37000,42000,77000,77000,77000,424,0,6300,8539.685353355588,352.91147232055664,77462.15677261353,489804.62971698114
1783359231,40,,Aggregated,3.700000,0.000000,6300,8200,11000,13000,18000,23000,37000,42000,77000,77000,77000,431,0,6300,8510.431844507735,352.91147232055664,77462.15677261353,490533.2946635731
1783359232,40,,Aggregated,3.700000,0.000000,6300,8200,11000,13000,18000,23000,37000,42000,77000,77000,77000,436,0,6300,8530.105475985676,352.91147232055664,77462.15677261353,493450.4495412844
1783359233,40,,Aggregated,3.700000,0.000000,6300,8200,11000,13000,18000,23000,37000,42000,77000,77000,77000,438,0,6300,8518.986479876792,352.91147232055664,77462.15677261353,492748.8698630137
1783359234,40,,Aggregated,3.800000,0.000000,6300,8200,11000,13000,18000,23000,40000,44000,77000,77000,77000,441,0,6300,8627.93213818349,352.91147232055664,77462.15677261353,494038.3424036281
1783359235,40,,Aggregated,4.200000,0.000000,6300,8200,11000,14000,19000,23000,40000,44000,77000,77000,77000,444,0,6300,8657.869392687136,352.91147232055664,77462.15677261353,497959.71396396396
1783359236,40,,Aggregated,3.700000,0.000000,6300,8200,11000,14000,19000,23000,40000,44000,77000,77000,77000,449,0,6300,8637.656560719412,352.91147232055664,77462.15677261353,498427.22494432074
1783359237,40,,Aggregated,3.700000,0.000000,6300,8200,11000,14000,18000,23000,37000,44000,77000,77000,77000,454,0,6300,8628.678463104014,352.91147232055664,77462.15677261353,499599.02202643175
1783359238,40,,Aggregated,3.500000,0.000000,6300,8200,11000,14000,18000,23000,37000,44000,77000,77000,77000,457,0,6300,8609.834003239805,352.91147232055664,77462.15677261353,498544.2319474836
1783359239,40,,Aggregated,3.800000,0.000000,6300,8200,11000,14000,18000,23000,37000,44000,77000,77000,77000,461,0,6300,8610.83954585607,352.91147232055664,77462.15677261353,497754.33622559655
1783359240,40,,Aggregated,3.900000,0.000000,6300,8200,11000,14000,18000,23000,37000,44000,77000,77000,77000,462,0,6300,8606.815339682938,352.91147232055664,77462.15677261353,497734.55194805196
1783359241,40,,Aggregated,3.700000,0.000000,6300,8200,11000,14000,18000,23000,37000,44000,77000,77000,77000,465,0,6300,8634.314632415771,352.91147232055664,77462.15677261353,499450.06881720433
1783359242,40,,Aggregated,3.700000,0.000000,6300,8200,11000,14000,18000,23000,37000,44000,77000,77000,77000,472,0,6300,8599.556983022367,352.91147232055664,77462.15677261353,497620.54872881353
1783359243,40,,Aggregated,3.400000,0.000000,6300,8200,11000,14000,18000,23000,37000,44000,77000,77000,77000,478,0,6300,8588.452146143096,352.91147232055664,77462.15677261353,497421.7677824268
1783359245,40,,Aggregated,3.400000,0.000000,6300,8200,11000,14000,18000,23000,37000,44000,77000,77000,77000,482,0,6300,8614.27326865216,352.91147232055664,77462.15677261353,500994.65352697094
1783359246,40,,Aggregated,3.400000,0.000000,6400,8200,11000,14000,18000,23000,40000,44000,77000,77000,77000,486,0,6300,8668.54202158657,352.91147232055664,77462.15677261353,502645.5925925926
1783359247,40,,Aggregated,3.700000,0.000000,6300,8200,11000,14000,18000,23000,40000,44000,77000,77000,77000,488,0,6300,8636.022237969226,352.91147232055664,77462.15677261353,500747.5778688525
1783359248,40,,Aggregated,3.600000,0.000000,6300,8200,11000,14000,18000,23000,40000,44000,77000,77000,77000,489,0,6300,8635.622661781701,352.91147232055664,77462.15677261353,500722.7648261759
1783359249,40,,Aggregated,3.600000,0.000000,6300,8200,11000,14000,18000,23000,40000,44000,77000,77000,77000,489,0,6300,8635.622661781701,352.91147232055664,77462.15677261353,500722.7648261759
1783359250,40,,Aggregated,3.400000,0.000000,6400,8200,11000,14000,18000,23000,40000,44000,77000,77000,77000,493,0,6400,8649.727751226987,352.91147232055664,77462.15677261353,503585.4584178499
1783359251,40,,Aggregated,3.400000,0.000000,6400,8200,11000,14000,18000,23000,40000,44000,77000,77000,77000,493,0,6400,8649.727751226987,352.91147232055664,77462.15677261353,503585.4584178499
1783359252,40,,Aggregated,3.000000,0.000000,6400,8200,11000,14000,18000,23000,40000,44000,77000,77000,77000,497,0,6400,8642.003869626604,352.91147232055664,77462.15677261353,503676.5855130785
1783359253,40,,Aggregated,2.900000,0.000000,6400,8200,11000,14000,18000,23000,37000,42000,77000,77000,77000,506,0,6400,8655.327851593258,352.91147232055664,77462.15677261353,506187.604743083
1783359254,40,,Aggregated,2.800000,0.000000,6400,8300,11000,14000,18000,23000,37000,42000,77000,77000,77000,514,0,6400,8620.778435399096,352.91147232055664,77462.15677261353,505140.7159533074
1783359255,40,,Aggregated,2.600000,0.000000,6400,8300,11000,14000,18000,23000,37000,42000,77000,77000,77000,517,0,6400,8620.967482690423,352.91147232055664,77462.15677261353,505823.916827853
1783359256,40,,Aggregated,3.000000,0.000000,6400,8200,11000,14000,18000,23000,37000,42000,77000,77000,77000,518,0,6400,8605.724784398171,352.91147232055664,77462.15677261353,504923.7355212355
1783359257,40,,Aggregated,3.400000,0.000000,6400,8200,11000,14000,18000,23000,37000,42000,77000,77000,77000,524,0,6400,8585.060494091675,352.91147232055664,77462.15677261353,503274.78816793894
1783359258,40,,Aggregated,3.100000,0.000000,6400,8200,11000,14000,18000,23000,37000,42000,77000,77000,77000,526,0,6400,8562.573597458379,352.91147232055664,77462.15677261353,502087.4125475285
1783359259,40,,Aggregated,3.300000,0.000000,6400,8300,11000,14000,18000,23000,37000,42000,77000,77000,77000,529,0,6400,8571.355215768508,352.91147232055664,77462.15677261353,504770.4423440454
1783359260,40,,Aggregated,3.300000,0.000000,6400,8200,11000,14000,18000,23000,37000,42000,77000,77000,77000,530,0,6400,8561.210364665625,352.91147232055664,77462.15677261353,504178.41320754716
1783359262,40,,Aggregated,3.900000,0.000000,6300,8200,11000,14000,18000,23000,37000,42000,77000,77000,77000,535,0,6300,8532.762210614213,352.91147232055664,77462.15677261353,503376.4598130841
